Orthogroup	Acaulospora-colombiana-protein	Acaulospora-morrowiae-protein	Ambispora-gerdemannii-protein	Ambispora-leptoticha-protein	Cetraspora-pellucida-protein	Claroideoglomus-candidum-CCK-protein	Claroideoglomus-lamellosum-protein	Dentiscutata-heterogama-protein	Diversispora-eburnea-protein	Diversispora-epigaea-protein	Diversispora-erythropus-protein	Funneliformis-caledonium-protein	Funneliformis-mosseae-protein	Geosiphon-pyriformis-protein	Gigaspora-margarita-BEG34-protein	Gigaspora-rosea-FL-protein	Innospora-majewskii-protein	Paraglomus-brasilianum-protein	Paroglomus-occultum-protein	Racocetra-persica-protein	Rhizophagus-cerebriforme-protein	Rhizophagus-clarus-protein	Rhizophagus-diaphanus-protein	Rhizophagus-fulgida-protein	Rhizophagus-irregularis-protein	Scutellospora-calospora-protein	Septoglomus-turnauae-protein	Total
OG0000081	0	3	1	2	13	12	19	19	2	45	36	5	6	0	3	64	0	0	1	26	15	27	13	11	19	11	16	369
OG0000082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	362
OG0000083	0	0	3	4	38	4	0	12	7	34	12	16	6	0	5	45	0	1	0	43	3	23	22	24	24	20	12	358
OG0000084	3	0	14	4	2	7	8	1	2	9	6	10	36	10	8	9	24	8	10	11	18	33	49	5	49	2	19	357
OG0000085	0	0	0	7	1	0	2	7	0	125	17	12	29	0	4	17	1	1	0	8	3	44	16	11	21	6	25	357
OG0000086	1	1	4	7	12	0	0	25	22	24	1	11	13	8	26	40	4	6	5	21	19	24	25	1	36	8	11	355
OG0000087	0	0	12	0	19	2	7	0	1	40	1	0	0	0	12	19	7	6	12	2	38	58	69	0	1	7	41	354
OG0000088	18	27	9	6	3	3	3	2	5	6	2	3	4	4	4	2	3	3	3	2	49	76	74	1	15	1	24	352
OG0000089	0	0	19	15	0	13	11	6	8	1	7	34	18	35	0	2	49	32	25	14	3	8	2	22	1	0	26	351
OG0000090	0	6	1	0	13	9	13	0	1	89	1	1	7	0	10	0	11	0	12	38	29	13	30	21	14	5	26	350
OG0000091	11	23	11	18	2	3	7	2	21	42	9	10	8	0	8	11	16	8	3	9	30	30	16	5	28	4	11	346
OG0000092	0	6	3	4	21	12	10	12	3	23	8	5	28	0	6	35	0	0	0	52	15	52	14	13	11	3	10	346
OG0000093	0	5	2	21	17	3	33	0	0	0	37	21	9	0	8	11	11	1	0	81	6	14	6	17	13	0	29	345
OG0000094	0	1	1	2	18	0	0	0	6	27	1	17	2	0	39	37	8	2	2	40	15	19	26	21	22	17	21	344
OG0000095	9	57	17	7	7	8	8	2	31	32	12	6	23	0	18	8	15	10	2	11	15	5	5	9	8	4	14	343
OG0000096	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	1	0	0	0	0	0	0	339
OG0000097	15	17	0	4	4	13	10	4	1	64	1	0	4	5	27	33	6	10	8	57	6	2	2	0	4	15	24	336
OG0000098	1	0	19	3	27	11	2	22	0	4	42	5	13	24	0	45	1	6	8	35	0	33	1	18	3	2	9	334
OG0000099	11	24	7	10	12	25	27	4	5	7	16	26	6	7	8	14	18	17	8	8	8	9	5	9	15	5	16	327
OG0000100	0	0	0	1	70	0	0	12	20	17	72	0	0	0	11	42	0	0	0	49	0	0	0	4	0	28	0	326
OG0000101	2	10	3	3	2	5	16	8	2	77	18	2	3	5	5	4	14	0	3	6	4	66	17	6	14	4	26	325
OG0000102	13	10	4	5	3	5	7	13	0	55	12	10	5	8	11	20	1	1	2	6	12	28	52	9	10	11	12	325
OG0000103	1	0	16	7	6	11	41	3	4	1	5	4	3	0	5	4	43	10	4	56	18	9	9	7	14	12	31	324
OG0000104	13	16	5	3	17	13	17	0	4	15	41	1	40	5	30	13	3	2	3	5	12	17	16	2	4	1	20	318
OG0000105	4	4	2	18	4	13	8	4	21	35	22	15	13	0	13	7	24	2	28	7	12	12	8	7	9	4	20	316
OG0000106	0	0	0	1	0	0	1	0	0	13	1	3	0	1	4	0	0	0	0	0	57	108	38	1	68	0	20	316
OG0000107	6	3	1	1	19	23	22	1	10	3	0	1	0	0	49	0	0	0	0	29	11	24	28	21	31	4	28	315
OG0000108	5	14	26	24	6	9	10	11	6	10	16	11	9	16	15	8	11	12	10	15	11	11	12	11	10	6	9	314
OG0000109	6	8	2	10	15	8	11	11	15	17	6	5	5	7	45	36	9	5	5	22	11	5	6	18	6	3	14	311
OG0000110	0	0	1	3	13	4	2	17	6	14	25	12	6	0	11	40	2	1	0	52	20	12	14	6	26	9	15	311
OG0000111	0	5	4	0	2	20	16	10	3	68	13	2	9	0	13	12	0	0	0	24	14	21	14	15	24	8	13	310
OG0000112	4	0	1	0	3	11	12	5	4	9	14	8	8	1	12	13	5	10	2	7	6	76	29	4	39	3	23	309
OG0000113	3	12	10	8	7	10	11	11	6	10	20	14	15	11	21	14	2	3	2	14	14	22	20	5	20	5	11	301
OG0000114	0	0	2	1	18	14	10	3	0	50	10	5	3	0	32	6	0	0	0	7	10	33	31	7	37	3	17	299
OG0000115	9	16	6	7	7	10	1	10	13	10	20	15	11	2	18	19	1	6	10	21	21	20	23	9	5	6	2	298
OG0000116	4	11	4	6	5	5	8	17	8	17	36	5	4	3	65	29	1	0	0	28	7	3	6	9	5	8	4	298
OG0000117	3	19	4	11	1	22	17	4	5	4	21	22	1	0	39	17	7	2	2	11	11	19	20	2	26	3	4	297
OG0000118	0	0	1	1	5	0	0	3	0	0	3	25	6	1	13	4	2	3	1	2	49	48	53	2	56	0	15	293
OG0000119	0	0	2	1	2	10	6	2	1	112	8	1	4	0	59	5	1	0	1	0	13	13	17	0	18	0	17	293
OG0000120	0	3	0	5	29	1	1	16	2	10	23	15	9	0	23	26	4	1	6	33	10	24	14	3	20	2	11	291
OG0000121	5	18	15	5	6	12	10	7	8	7	15	13	7	4	22	19	22	0	9	19	8	9	6	18	11	3	12	290
OG0000122	2	0	4	3	1	14	11	0	18	23	0	2	0	1	0	2	6	13	8	1	27	55	27	0	15	14	41	288
OG0000123	16	25	7	6	1	17	16	1	3	15	5	24	23	1	13	10	24	7	8	6	6	15	8	4	11	2	13	287
OG0000124	2	7	8	3	3	31	35	4	8	7	9	17	20	9	10	8	16	11	3	7	11	8	15	6	14	2	13	287
OG0000125	2	0	12	6	9	15	8	5	1	8	8	22	17	0	19	5	32	18	11	7	12	14	16	5	24	0	11	287
OG0000126	0	7	0	0	13	18	25	12	1	2	14	12	11	0	22	19	7	12	4	26	17	9	14	16	10	5	8	284
OG0000127	7	16	8	5	1	1	1	0	22	7	5	0	0	0	38	19	4	5	3	6	25	47	22	1	21	0	19	283
OG0000128	5	10	19	9	1	4	6	8	12	14	20	13	11	4	33	15	5	7	2	13	10	8	10	2	13	9	18	281
OG0000129	0	0	0	1	1	2	4	5	1	2	26	5	14	0	0	42	0	0	0	28	2	48	13	8	22	28	29	281
OG0000130	11	16	3	4	7	3	2	12	13	22	22	8	8	2	38	11	1	2	2	18	9	6	12	14	13	8	12	279
OG0000131	2	3	2	1	11	1	1	16	2	11	6	8	4	0	49	1	4	10	5	40	16	17	25	3	23	4	14	279
OG0000132	1	36	0	4	24	5	2	8	11	5	35	2	18	0	7	28	0	0	1	19	19	10	5	27	3	7	2	279
OG0000133	2	3	3	2	1	3	4	2	12	23	13	6	3	1	0	4	6	2	1	12	25	39	42	5	33	0	31	278
OG0000134	10	14	4	3	7	4	2	11	4	2	15	16	14	1	16	16	3	8	7	10	15	27	30	8	21	4	6	278
OG0000135	3	16	6	2	7	2	8	12	28	5	16	14	6	0	4	4	5	5	4	13	9	48	20	7	16	0	17	277
OG0000136	0	0	4	0	25	8	7	58	0	0	38	14	4	0	5	27	0	3	0	18	6	18	19	0	2	20	1	277
OG0000137	1	1	7	12	8	9	9	14	14	13	19	14	7	1	17	13	16	15	20	16	4	7	4	6	11	2	15	275
OG0000138	3	6	7	14	1	7	5	1	5	12	5	12	11	1	9	5	15	18	10	1	28	24	22	5	30	2	14	273
OG0000139	3	4	7	5	1	18	26	9	0	65	0	0	17	2	13	8	6	9	6	26	5	14	8	3	4	7	7	273
OG0000140	0	0	5	0	7	24	16	10	3	15	8	32	12	0	7	25	0	0	0	17	21	13	11	16	7	10	13	272
OG0000141	7	15	9	16	7	17	19	6	4	9	8	25	21	2	11	9	11	10	10	5	9	4	1	8	6	7	15	271
OG0000142	0	0	0	0	0	0	0	0	1	227	1	3	2	0	0	0	0	0	0	0	0	0	11	2	16	0	6	269
OG0000143	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	269
OG0000144	4	3	14	4	17	2	7	0	7	9	6	11	16	1	21	6	3	5	0	24	17	31	19	9	11	10	11	268
OG0000145	1	2	0	0	7	3	4	10	0	13	19	19	19	0	24	18	0	0	0	22	15	16	17	16	24	4	14	267
OG0000146	0	0	0	4	10	0	0	1	5	24	20	19	6	0	4	16	0	0	0	35	15	31	15	36	15	5	6	267
OG0000147	0	3	1	2	20	14	7	4	7	2	10	21	2	0	2	16	0	0	0	33	9	36	12	13	7	13	31	265
OG0000148	0	1	1	0	39	1	19	34	10	2	26	0	0	0	1	33	16	2	3	32	0	13	11	0	4	2	15	265
OG0000149	3	3	2	5	8	9	8	1	2	2	3	5	6	0	52	5	1	1	2	41	15	22	24	0	28	11	5	264
OG0000150	1	0	4	6	3	17	14	9	2	4	11	14	12	3	7	10	25	17	19	31	7	9	6	6	12	5	10	264
OG0000151	0	6	11	2	32	17	4	20	0	0	18	2	7	0	3	8	0	2	3	34	3	42	3	15	4	11	15	262
OG0000152	0	3	10	6	19	7	1	20	6	1	8	4	2	0	10	41	5	5	7	37	15	24	6	13	0	10	2	262
OG0000153	0	1	5	4	6	16	9	7	7	40	6	2	12	0	4	25	0	0	0	17	9	29	19	8	17	6	13	262
OG0000154	5	13	7	6	4	16	14	5	6	15	15	10	13	10	13	8	17	12	15	10	8	5	6	6	6	2	14	261
OG0000155	0	0	0	1	14	0	0	14	0	0	41	9	7	0	2	47	0	3	1	60	2	14	9	3	3	5	25	260
OG0000156	0	0	2	2	23	0	18	33	0	0	12	11	5	1	16	22	0	0	0	34	6	15	7	13	4	20	14	258
OG0000157	4	2	5	10	11	5	4	11	9	7	16	15	11	11	27	18	0	0	0	15	11	13	18	1	15	4	11	254
OG0000158	3	2	0	0	1	0	1	3	0	0	5	0	14	0	7	5	0	0	0	8	30	66	43	1	36	4	25	254
OG0000159	0	0	5	5	2	11	13	1	1	4	12	13	10	17	18	15	31	15	20	3	4	25	5	3	5	2	14	254
OG0000160	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	250	254
OG0000161	1	3	13	10	6	2	3	0	33	45	12	0	0	0	9	8	2	3	0	20	16	20	15	6	6	4	16	253
OG0000162	0	0	0	2	7	2	1	7	0	0	15	7	9	0	3	18	0	0	0	45	12	34	16	26	35	6	6	251
OG0000163	1	6	6	6	20	10	12	3	21	9	23	1	1	22	0	20	16	5	3	42	2	2	2	3	2	8	3	249
OG0000164	0	9	0	7	46	3	2	6	8	7	49	1	1	0	0	10	4	5	3	5	7	18	3	28	6	8	13	249
OG0000165	5	14	8	1	9	8	8	4	5	15	9	6	10	0	13	9	8	10	9	9	16	9	13	12	22	4	11	247
OG0000166	10	12	10	4	1	15	13	1	9	20	8	26	16	0	7	4	4	9	7	4	14	18	11	5	10	0	9	247
OG0000167	3	12	9	4	7	13	11	7	2	0	13	13	15	0	15	7	15	5	7	13	16	10	9	9	12	4	15	246
OG0000168	3	17	12	7	9	0	3	2	15	17	16	15	31	0	4	4	0	1	0	17	8	12	4	7	11	17	14	246
OG0000169	6	6	4	3	8	17	17	6	5	10	13	10	7	2	19	6	3	2	1	26	8	10	15	11	14	2	14	245
OG0000170	5	10	1	1	5	16	13	4	7	7	7	8	9	1	18	6	6	9	7	14	15	17	14	12	17	5	10	244
OG0000171	3	3	17	6	4	8	9	14	6	3	12	6	6	7	18	15	4	4	2	14	9	16	14	7	17	6	14	244
OG0000172	1	3	0	7	19	18	0	4	12	6	22	1	0	25	3	34	2	6	10	5	0	36	8	3	0	5	14	244
OG0000173	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	57	87	79	0	13	0	5	244
OG0000174	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	244
OG0000175	0	4	0	1	33	1	4	17	0	0	48	0	2	0	8	16	2	0	0	43	5	8	7	17	3	21	3	243
OG0000176	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	243
OG0000177	5	12	1	2	8	13	16	7	4	8	10	14	14	6	14	10	2	2	2	9	12	15	12	8	19	4	12	241
OG0000178	1	1	2	12	1	1	2	2	20	10	19	0	0	15	7	23	0	3	0	25	26	25	11	1	12	3	19	241
OG0000179	0	0	2	1	17	11	3	10	8	21	7	3	1	0	2	32	0	0	0	48	13	16	10	10	4	12	10	241
OG0000180	2	1	1	3	16	3	2	19	1	1	11	1	1	1	40	19	1	1	3	49	3	19	12	5	13	7	5	240
OG0000181	3	7	2	0	2	16	34	8	1	0	21	0	0	0	11	16	8	2	3	8	15	8	29	19	5	1	20	239
OG0000182	3	5	8	5	1	5	4	0	9	7	5	22	13	0	10	9	13	15	10	5	14	12	18	2	19	1	24	239
OG0000183	4	9	1	2	7	8	5	8	1	1	10	15	6	1	11	1	3	6	3	15	26	19	19	4	26	4	24	239
OG0000184	0	1	6	1	0	19	19	2	21	35	1	3	0	0	1	0	4	7	0	7	19	41	11	5	13	0	23	239
OG0000185	0	0	1	2	19	8	2	2	2	3	9	19	2	0	4	33	0	0	0	14	15	64	18	9	4	3	6	239
OG0000186	3	0	16	11	3	10	8	10	0	13	16	0	4	1	10	10	0	6	9	13	21	25	33	0	5	0	11	238
OG0000187	3	1	1	4	0	18	25	0	2	8	1	21	17	0	2	7	28	9	2	2	4	26	20	0	21	0	16	238
OG0000188	1	18	9	4	1	4	7	2	12	12	5	6	16	0	3	2	6	14	8	10	19	19	16	6	19	0	18	237
OG0000189	0	2	0	10	12	10	21	3	2	12	7	2	2	0	1	42	8	5	5	20	4	12	6	6	5	6	31	234
OG0000190	0	4	1	5	4	14	10	13	2	0	20	9	0	0	4	40	0	0	0	4	7	22	11	21	6	25	11	233
OG0000191	0	0	0	0	9	2	1	4	1	46	5	6	3	0	14	26	0	0	0	33	5	21	13	6	21	7	9	232
OG0000192	6	0	25	16	6	7	7	0	53	36	0	3	2	0	0	17	9	6	7	1	2	7	2	13	3	0	3	231
OG0000193	3	2	0	0	1	0	0	3	0	0	3	13	12	1	9	5	0	0	0	7	20	40	40	2	44	2	24	231
OG0000194	0	11	3	2	17	32	28	10	2	1	8	3	17	0	3	7	10	6	7	25	1	7	4	14	1	5	7	231
OG0000195	2	5	4	5	3	9	8	2	5	5	10	7	7	5	16	8	5	4	4	5	16	24	26	2	18	3	21	229
OG0000196	6	8	18	14	2	4	4	9	6	6	19	4	4	10	34	16	3	3	3	27	4	2	2	9	2	3	7	229
OG0000197	0	4	0	1	3	4	5	1	0	0	8	24	25	1	12	9	3	1	1	14	13	17	24	7	38	8	6	229
OG0000198	1	2	0	3	7	4	0	14	2	3	14	5	6	0	11	15	1	0	12	8	15	52	19	1	10	13	10	228
OG0000199	3	1	1	2	8	11	11	14	6	1	27	2	13	1	33	16	0	0	0	25	2	18	18	5	1	6	2	227
OG0000200	4	5	5	7	10	5	4	22	1	5	15	2	1	23	2	27	1	1	5	15	1	39	1	6	2	13	5	227
OG0000201	0	2	1	3	2	8	10	1	19	27	11	9	1	0	15	6	9	11	10	6	6	5	15	8	19	3	20	227
OG0000202	2	2	9	0	1	1	14	12	12	24	9	20	0	0	0	1	8	3	3	4	14	34	9	4	13	0	26	225
OG0000203	2	11	2	5	5	1	1	4	3	8	8	11	15	1	17	9	0	1	1	10	12	30	23	3	29	3	9	224
